球员,总分,传球,传中,盯人,罚点球,技术,角球,界外球,盘带,抢断,任意球,射门,停球,头球,远射,才华,防守站位,工作投入,集中,决断,领导力,侵略性,视野,团队合作,无球跑动,意志力,勇敢,预判,镇定,爆发力,弹跳,灵活,耐力,平衡,强壮,速度,体质,稳定,大赛,抗压
卢克·奥尼恩 - 选​择球​员,385.81583333333333,14,9,13,8,11,7,3,10,13,7,10,12,14,7,9,14,15,13,10,15,14,10,15,10,15,16,14,14,11,11,15,15,11,12,12,17,13,12,13
卢特沙瑞尔·海特勒伊达 - 选​择球​员,407.0366666666667,14,11,13,12,13,8,13,12,13,8,8,13,14,9,10,13,15,13,12,13,12,13,16,12,15,14,13,14,13,13,13,14,15,14,13,14,13,14,12
布雷恩·布洛贝 - 选​择球​员,423.1408333333333,11,6,5,10,14,7,4,11,4,12,13,13,12,12,15,5,17,12,15,8,6,11,14,14,14,17,13,12,14,12,12,14,16,18,14,14,12,13,13
罗宾·罗弗斯 - 选​择球​员,367.3116666666667,7,3,2,3,13,4,1,1,2,8,1,7,5,3,11,13,12,14,12,9,13,10,13,3,15,11,10,14,13,15,15,8,12,11,12,9,20,12,10
诺尔迪·穆基勒 - 选​择球​员,430.41166666666663,13,12,14,8,13,6,16,12,15,6,7,13,13,8,10,13,16,12,12,11,16,12,15,12,15,16,15,12,14,15,15,14,15,15,15,14,13,13,12
威尔森·伊斯多尔 - 选​择球​员,404.7941666666667,11,10,5,12,14,10,6,10,9,10,15,13,12,13,13,9,12,12,11,9,9,13,9,14,10,9,13,12,15,12,15,12,12,11,15,9,12,12,8
恩佐·勒·费 - 选​择球​员,397.33916666666664,15,13,11,12,15,15,5,14,9,14,9,16,6,12,15,10,14,12,14,11,7,15,15,13,14,11,13,13,14,5,14,14,15,7,13,13,14,12,12
德赖·胡姆 - 选​择球​员,385.8025,14,14,15,6,9,14,11,11,15,13,6,14,14,9,5,13,13,12,12,14,14,12,11,13,14,14,10,14,12,11,13,13,13,14,12,14,11,13,12
奥马尔·艾德利特 - 选​择球​员,415.33166666666665,12,8,15,11,10,3,12,11,16,6,6,11,16,4,6,15,14,15,15,12,17,7,13,10,14,18,15,13,11,16,15,14,15,16,13,15,15,12,10
梅尔克·埃尔伯格 - 选​择球​员,329.915,8,3,1,2,9,3,1,1,3,8,3,7,2,3,2,10,10,11,11,7,7,8,11,2,14,12,10,11,10,16,17,9,9,10,9,11,12,8,12
格兰尼特·扎卡 - 选​择球​员,411.1616666666666,18,12,12,12,17,13,6,12,13,15,11,16,12,17,13,14,16,15,16,19,16,17,17,11,16,16,16,18,10,12,12,17,16,14,12,17,18,14,15
哈比卜·迪亚拉 - 选​择球​员,416.5825000000001,14,10,12,13,14,6,6,13,12,9,9,14,9,14,13,12,16,13,13,12,10,11,14,12,16,12,13,11,13,10,15,15,14,15,15,14,13,12,12
尼尔松·安古洛 - 选​择球​员,407.4241666666666,13,12,10,9,13,12,8,13,9,9,12,11,11,10,11,9,11,9,8,5,5,9,13,11,12,13,9,12,15,12,16,14,11,13,14,14,11,20,11
诺阿·萨迪奇 - 选​择球​员,408.77416666666664,13,13,14,11,13,8,7,14,16,8,9,12,10,10,12,14,18,13,12,11,13,12,15,13,14,14,12,12,14,9,14,15,13,14,13,14,14,12,13
彻姆斯丹·塔尔比 - 选​择球​员,407.7891666666667,13,15,9,11,14,8,12,14,8,11,13,14,9,12,15,12,15,9,11,12,9,14,12,13,10,13,12,11,15,8,16,11,10,11,15,13,12,11,12
埃利泽·马延达 - 选​择球​员,436.7733333333333,14,8,5,13,12,5,5,15,5,5,14,14,11,11,13,10,14,11,11,6,13,14,13,14,12,14,14,12,15,11,16,11,14,15,16,13,12,13,15
克里斯·雷格 - 选​择球​员,366.755,15,11,10,11,16,11,11,12,13,11,12,15,9,9,12,14,14,12,11,13,14,14,12,10,12,13,12,14,9,8,10,14,13,12,12,16,11,10,16
克里斯·伍德 - 选​择球​员,401.32416666666666,13,9,7,15,13,3,3,11,9,10,13,13,15,11,10,11,15,13,14,14,14,11,16,13,15,16,14,13,11,16,12,15,16,15,11,12,12,13,15
塔伊沃·奥沃尼伊 - 选​择球​员,438.4133333333333,11,9,4,12,14,7,5,15,4,8,16,14,14,11,13,5,13,11,9,5,14,11,11,15,13,13,13,9,16,11,14,13,16,16,15,13,10,13,10
尼古拉斯·多明戈斯 - 选​择球​员,392.2766666666667,16,11,9,9,15,5,5,11,17,6,8,15,13,11,11,14,16,13,14,12,17,16,15,13,16,16,13,13,12,11,13,17,11,11,11,15,15,14,15
马茨·泽尔斯 - 选​择球​员,373.15416666666664,10,3,2,3,9,3,1,3,1,7,2,10,8,3,1,12,9,13,11,10,13,7,11,2,15,14,12,12,11,14,18,14,14,13,12,11,16,7,12
约翰 - 选​择球​员,370.67249999999996,11,3,3,5,11,6,1,2,2,9,2,11,2,3,2,13,14,12,13,12,9,12,12,1,13,13,12,13,12,14,19,12,10,13,12,12,13,17,10
费利佩 - 选​择球​员,392.1325,13,9,14,10,10,6,10,8,14,6,8,9,14,8,8,13,14,11,11,12,14,12,14,11,13,15,13,13,12,13,12,14,15,16,13,15,12,11,9
伊戈尔·热苏斯 - 选​择球​员,423.5208333333333,12,11,6,13,14,6,7,13,7,8,15,13,14,12,11,7,15,13,13,12,11,12,14,15,13,15,14,14,14,14,12,13,15,14,13,13,13,14,13
安格斯·古恩 - 选​择球​员,315.795,11,3,1,5,12,3,1,3,1,4,1,9,4,1,1,13,9,12,12,13,8,10,10,3,15,13,13,14,9,14,16,12,12,10,7,13,11,12,14
奥拉·艾纳 - 选​择球​员,426.01416666666665,11,12,9,5,12,5,12,12,12,4,7,11,11,6,14,9,15,12,13,7,11,10,13,11,12,9,9,12,18,11,13,14,12,10,17,16,12,12,11
卡鲁姆·哈德森-奥多伊 - 选​择球​员,416.43999999999994,15,14,7,11,15,12,5,15,7,12,11,16,7,8,15,7,12,11,15,5,8,14,10,14,12,8,11,13,16,11,13,12,12,8,15,12,11,12,10
内科·威廉姆斯 - 选​择球​员,404.5083333333334,13,14,11,14,13,8,10,14,13,13,11,14,11,12,11,13,15,11,11,9,14,12,14,12,14,13,10,11,14,11,13,14,13,11,14,15,13,11,12
詹姆斯·麦卡蒂 - 选​择球​员,417.29750000000007,14,12,9,10,16,8,3,16,7,12,13,14,9,12,16,6,13,13,13,7,8,14,13,12,13,12,12,14,15,10,14,13,14,9,14,14,12,12,12
埃利奥特·安德森 - 选​择球​员,408.78833333333336,13,11,10,11,14,12,3,15,13,12,12,13,9,12,13,13,17,14,14,12,14,13,15,13,19,15,12,13,14,8,12,15,14,14,12,13,13,14,14
瑞安·耶茨 - 选​择球​员,398.87833333333333,13,10,12,4,14,7,4,10,14,10,11,12,15,9,6,14,16,13,13,15,12,13,15,13,16,15,12,13,11,14,14,16,12,14,13,15,14,14,13
莫甘·吉布斯白 - 选​择球​员,416.48333333333323,15,12,6,13,15,14,5,14,9,11,11,15,11,12,16,11,15,12,14,14,12,15,14,14,14,10,13,15,14,10,12,13,15,13,14,13,14,12,12
洛伦佐·卢卡 - 选​择球​员,432.5166666666666,11,7,6,14,13,5,8,11,7,12,15,11,17,13,12,7,12,11,14,10,15,11,11,14,16,14,15,13,12,18,15,14,16,17,14,13,11,10,9
尼科尔·撒沃纳 - 选​择球​员,416.09,13,13,14,5,13,8,14,13,13,7,10,14,13,11,5,14,15,13,11,9,12,13,15,15,9,13,15,14,14,13,12,14,13,13,14,15,14,11,13
易卜拉欣·桑加雷 - 选​择球​员,427.00749999999994,15,9,14,4,13,12,5,12,15,11,7,12,15,13,13,15,18,11,13,13,16,12,17,11,12,17,13,15,14,17,12,17,15,17,12,15,12,13,12
迪拉内·巴克瓦 - 选​择球​员,424.02333333333326,13,14,5,8,15,7,6,16,5,8,10,16,8,8,17,7,13,12,11,8,8,11,13,15,13,13,13,14,16,9,15,12,11,11,15,12,11,11,9
尼古拉·米伦科维奇 - 选​择球​员,423.8591666666668,13,8,15,6,14,5,9,8,15,6,10,11,16,5,7,14,15,13,14,11,17,11,15,8,15,15,15,12,13,17,12,13,14,16,14,16,13,12,13
丹·恩多耶 - 选​择球​员,429.495,13,11,3,10,14,6,5,15,10,4,11,14,6,10,14,10,14,12,12,8,13,11,13,13,14,10,14,11,17,11,13,16,11,9,16,16,12,13,11
威尔·博利 - 选​择球​员,353.80583333333334,13,4,12,5,12,2,5,10,14,3,9,11,15,9,13,14,13,11,12,13,17,11,13,9,13,14,15,13,9,16,8,11,16,17,8,9,11,13,14
斯特凡·奥尔特加 - 选​择球​员,355.3641666666667,15,3,3,4,12,4,3,1,3,8,3,13,7,3,5,11,13,12,13,13,10,13,12,5,14,12,12,13,11,14,12,12,13,13,10,14,16,15,13
卢卡·内茨 - 选​择球​员,395.59666666666664,12,14,10,11,13,14,14,12,11,12,8,13,10,10,13,10,13,10,11,8,8,12,12,13,12,11,12,12,14,12,13,14,12,12,14,12,12,12,7
奥马里·哈钦森 - 选​择球​员,408.2283333333333,13,13,7,5,16,13,1,16,10,12,13,16,5,13,16,11,16,12,11,4,12,12,12,13,14,13,12,14,15,4,16,10,14,9,14,8,13,12,15
穆里洛 - 选​择球​员,435.01583333333343,15,9,14,8,15,6,8,15,14,10,7,14,14,9,14,14,15,13,14,12,13,15,14,9,13,17,13,12,15,14,14,15,14,15,14,15,13,12,14
杰尔 - 选​择球​员,390.82,11,8,13,10,13,8,12,8,15,6,5,10,15,5,9,14,12,12,12,13,13,13,12,12,14,10,13,10,12,18,9,12,11,12,13,11,13,12,11
乔尼·豪森 - 选​择球​员,363.0616666666666,14,9,13,12,13,12,9,8,12,12,11,12,7,13,9,14,14,13,14,14,12,14,15,14,14,16,14,14,12,9,9,15,11,11,9,14,15,15,12
塞巴斯蒂安·博瑙 - 选​择球​员,417.69916666666666,12,8,14,8,11,3,10,8,13,4,7,11,16,8,7,14,16,13,11,14,16,11,13,8,16,16,14,11,12,16,12,12,15,16,15,12,12,13,12
卢卡斯·皮矣里 - 选​择球​员,373.7016666666667,10,2,1,3,10,3,3,5,2,6,3,10,9,2,5,15,14,14,12,8,11,12,12,10,14,12,14,12,11,18,12,13,13,15,11,16,10,8,10
布伦登·亚伦森 - 选​择球​员,399.10166666666663,12,10,9,12,14,12,6,14,13,10,11,13,8,9,13,9,17,10,12,8,13,11,16,17,12,16,12,9,15,8,14,18,10,5,14,18,11,10,8
山姆·布莱姆 - 选​择球​员,378.3575,11,12,13,5,12,5,13,11,13,3,7,11,13,8,9,13,13,12,12,12,11,11,13,12,13,12,12,11,12,12,12,12,12,10,13,14,13,12,12
丹尼尔·詹姆斯 - 选​择球​员,438.49666666666667,7,13,4,8,8,10,2,11,9,7,12,11,4,9,12,10,17,6,8,5,13,7,14,13,14,15,9,9,19,6,14,16,13,8,18,16,9,13,14
肖恩·朗斯塔夫 - 选​择球​员,391.98749999999995,12,11,11,11,13,15,9,12,14,11,12,13,11,11,10,15,17,14,12,15,13,12,17,15,15,18,14,13,11,11,14,18,13,12,12,15,14,13,12
乔·罗多 - 选​择球​员,425.7475,12,7,12,5,12,4,10,13,14,3,2,11,15,3,9,14,14,12,13,14,14,8,14,8,15,16,14,12,15,16,13,13,10,16,15,12,14,12,11
卢卡斯·恩梅查 - 选​择球​员,408.24000000000007,11,8,5,17,14,6,6,13,6,12,14,13,13,10,15,6,11,12,12,10,12,11,12,14,12,11,13,13,14,13,12,11,14,13,14,7,12,14,12
卡尔·达洛 - 选​择球​员,323.435,8,3,1,4,8,3,2,2,3,5,1,8,7,1,3,16,15,12,12,9,8,6,12,2,13,13,13,13,8,13,18,10,13,13,8,13,13,13,13
亚历克斯·凯恩斯 - 选​择球​员,309.01916666666665,10,2,1,3,8,2,3,2,2,4,1,8,7,3,5,9,13,10,10,10,12,11,11,5,13,10,10,13,9,10,13,13,10,10,9,15,13,10,12
多米尼克·卡尔弗特-卢因 - 选​择球​员,446.8324999999999,11,11,6,13,13,9,2,11,5,7,12,16,18,9,12,6,16,14,13,5,13,10,15,14,14,14,12,13,15,16,15,14,13,15,16,12,13,10,12
詹姆斯·查士丁 - 选​择球​员,392.55166666666656,12,12,13,6,12,9,11,13,14,9,5,12,12,8,7,15,14,11,12,11,12,11,14,10,16,12,13,12,14,10,12,14,11,12,13,12,11,10,14
伊桑·阿姆帕杜 - 选​择球​员,408.4966666666666,13,9,14,7,12,6,16,10,15,6,6,12,12,5,7,14,14,14,14,15,12,12,15,9,15,16,15,15,13,13,12,13,15,13,13,13,15,15,15
杰登·博格勒 - 选​择球​员,409.46333333333337,15,14,12,7,15,9,11,14,11,8,11,13,10,5,14,12,15,12,12,8,11,14,16,13,14,11,12,11,15,9,13,16,14,11,14,15,12,10,12
乔尔·皮卢 - 选​择球​员,364.3616666666667,13,10,5,15,15,7,4,12,6,12,16,15,10,15,14,5,12,11,15,6,8,13,13,15,12,11,14,16,8,12,14,12,14,14,11,10,10,10,16
帕斯卡尔·斯特卢吉克 - 选​择球​员,403.02000000000004,15,10,14,14,13,3,8,11,15,3,8,12,17,6,8,14,13,12,12,13,13,13,14,11,13,14,13,14,12,16,12,13,13,14,13,14,9,12,10
德格南·威尔弗里德·格农 - 选​择球​员,424.5458333333333,11,11,3,10,15,6,2,13,5,5,13,14,8,9,15,8,12,13,8,5,14,10,14,14,15,12,12,11,16,5,15,11,18,14,14,17,10,13,9
田中碧 - 选​择球​员,400.54499999999996,15,10,12,11,15,12,6,12,12,12,11,15,8,12,12,12,15,12,14,12,13,15,16,14,15,14,13,15,12,10,15,15,12,10,13,14,16,16,16
伊兰·梅斯里尔 - 选​择球​员,329.2425,10,3,2,3,12,3,1,2,1,7,2,10,9,3,6,12,12,12,11,8,12,10,12,4,12,14,13,13,9,17,15,13,12,8,9,15,8,13,9
查卡·比约尔 - 选​择球​员,417.79499999999996,12,7,14,7,11,4,9,7,15,6,9,12,18,9,7,14,14,15,14,14,16,8,15,8,15,13,15,13,12,16,13,13,14,18,13,17,15,11,14
安东·施塔赫 - 选​择球​员,423.95750000000004,13,11,12,12,12,14,7,12,16,15,8,12,12,13,12,14,16,12,12,13,16,12,16,10,17,16,18,12,12,16,13,16,14,16,13,15,16,14,16
爱利亚·格鲁耶夫 - 选​择球​员,393.29916666666657,14,11,14,11,15,14,6,9,14,14,7,14,11,12,10,15,15,13,13,11,14,14,16,13,16,15,15,14,11,14,14,15,13,12,12,13,14,12,15
加百列·古德蒙松 - 选​择球​员,422.4358333333334,13,13,8,6,15,9,5,15,12,7,10,13,9,12,13,12,14,10,11,8,9,8,14,13,12,10,13,10,16,10,16,14,17,11,15,11,13,7,11
诺亚·奥卡福尔 - 选​择球​员,423.14,12,11,5,10,14,4,8,14,7,5,14,13,9,12,13,6,12,12,12,8,12,11,13,14,12,12,14,13,15,12,16,11,13,13,15,12,13,11,7
法坤多·博纳诺特 - 选​择球​员,397.97249999999997,14,12,9,13,14,13,8,15,11,12,13,14,9,14,14,8,14,13,11,10,13,14,13,14,13,13,11,12,14,7,13,13,16,10,12,13,12,13,9
杰克逊·泰奇奥瓦 - 选​择球​员,420.4516666666667,10,11,9,5,12,10,10,12,12,5,6,12,7,8,14,10,12,11,11,6,12,10,13,12,12,10,12,11,15,10,15,13,13,12,18,15,11,14,12
若昂·戈麦斯 - 选​择球​员,410.6,14,10,14,10,13,10,11,14,16,7,11,14,10,12,15,15,16,13,13,10,16,12,16,14,16,16,13,14,13,11,13,13,12,14,13,15,14,3,15
安德烈·特林达德 - 选​择球​员,406.13666666666666,14,9,14,10,13,8,9,13,14,9,10,14,11,11,12,15,14,13,14,11,13,14,14,13,14,13,14,15,13,8,16,14,14,13,13,14,14,14,12
拉迪斯拉夫·克雷伊奇 - 选​择球​员,422.7866666666667,14,9,14,14,12,7,8,12,14,9,11,12,15,14,11,12,16,15,12,14,15,10,14,8,16,16,14,14,13,15,12,15,15,15,13,12,14,14,12
山姆·约翰斯通 - 选​择球​员,330.32166666666666,9,1,2,1,9,1,3,2,1,2,1,10,7,3,4,14,10,13,12,10,9,8,13,8,15,14,12,9,10,17,12,10,10,12,8,12,13,11,8
亚当·阿姆斯特朗 - 选​择球​员,415.3191666666667,10,8,5,13,13,7,4,12,5,12,13,13,8,12,11,6,12,11,13,13,7,10,13,13,13,11,13,10,16,8,15,13,10,7,16,14,9,12,13
圣安杰洛·戈梅斯 - 选​择球​员,392.7966666666667,15,14,10,14,15,14,4,15,10,12,13,14,6,13,12,11,14,15,13,9,8,15,13,12,14,6,15,13,13,6,13,12,13,6,13,10,13,14,14
雨果·布埃诺 - 选​择球​员,397.7658333333333,13,14,12,5,13,11,3,13,10,11,9,10,10,10,14,11,15,11,12,10,15,12,12,13,15,13,12,13,13,10,14,14,14,11,14,13,11,10,9
丹尼尔·本特利 - 选​择球​员,298.5225,9,3,1,2,10,3,3,3,1,1,2,7,5,2,3,12,12,10,11,10,8,8,11,6,13,15,10,12,7,15,17,13,8,12,7,13,11,12,14
大卫·莫莱尔·伍尔夫 - 选​择球​员,401.3075,12,13,12,7,11,8,12,13,12,6,8,12,9,8,11,12,17,12,13,8,12,11,17,14,14,12,12,12,13,12,14,16,12,11,14,15,14,12,13
托卢瓦拉塞·阿罗科达 - 选​择球​员,397.27333333333326,11,7,8,10,11,5,7,11,8,9,14,12,15,12,9,13,12,13,12,8,13,11,12,12,15,12,11,13,11,18,14,13,15,18,11,12,12,12,11
让-里克纳·贝莱加尔德 - 选​择球​员,409.8233333333333,13,13,8,12,15,11,6,15,9,10,9,14,8,13,13,8,14,11,12,7,10,11,13,12,14,11,13,12,14,7,16,14,12,15,14,13,10,14,11
马特·多尔蒂 - 选​择球​员,398.22,13,12,13,8,13,7,13,14,13,10,12,13,14,10,12,14,13,13,14,13,11,13,14,16,14,13,13,13,12,13,12,13,13,14,12,15,15,12,13
若泽·萨 - 选​择球​员,333.1458333333333,9,2,1,5,8,2,1,1,3,2,3,9,8,1,5,12,10,12,13,11,13,10,15,3,15,16,15,12,9,13,11,13,12,12,9,13,10,15,15
黄喜灿 - 选​择球​员,417.21666666666664,11,10,6,12,13,8,2,14,8,8,15,10,11,10,13,9,14,12,11,10,16,12,14,13,15,13,12,13,15,11,15,13,13,11,14,13,9,11,10
耶森·莫斯克拉 - 选​择球​员,402.6441666666667,12,5,12,4,12,4,13,9,14,4,8,11,15,11,11,14,11,13,12,8,10,10,11,10,12,12,13,11,13,15,13,13,10,14,15,13,14,11,11
圣地亚哥·布埃诺 - 选​择球​员,389.2491666666666,12,9,14,8,10,4,8,8,14,5,7,12,14,9,7,14,13,14,13,6,14,9,14,6,13,13,14,12,12,14,13,14,12,13,13,11,12,9,12
图迪 - 选​择球​员,407.6566666666667,11,11,13,5,11,10,10,11,14,10,6,9,14,4,11,13,12,12,12,14,13,10,14,11,12,13,12,12,14,14,13,14,13,15,14,14,11,10,13
罗德里戈·戈梅斯 - 选​择球​员,409.13166666666666,11,11,8,11,13,9,10,14,9,10,11,12,8,8,14,7,16,15,10,8,13,14,13,13,17,16,12,8,15,7,16,13,9,8,15,12,13,6,12
佩德罗·利马 - 选​择球​员,377.7958333333334,11,14,11,1,13,10,9,13,10,8,8,13,9,7,13,11,11,10,10,7,8,11,11,14,12,9,12,11,14,7,15,13,10,7,13,14,12,8,12
马特乌斯·马内 - 选​择球​员,397.76500000000004,14,11,9,12,13,9,3,14,5,9,13,14,11,12,15,7,15,10,11,2,9,9,10,12,7,7,12,13,14,6,12,12,10,11,14,13,12,15,10
蒂莫西·卡斯塔格内 - 选​择球​员,406.53749999999997,13,14,11,5,13,8,8,12,12,6,10,12,9,8,11,12,15,12,12,9,12,11,15,13,14,11,12,12,14,13,14,15,13,11,14,12,13,14,12
罗德里戈·穆尼兹 - 选​择球​员,421.1533333333333,9,9,7,11,13,8,10,11,7,6,16,13,15,11,15,7,14,11,13,8,11,12,11,15,13,14,15,14,14,15,13,13,13,12,14,12,13,10,11
约阿希姆·安德森 - 选​择球​员,409.24083333333334,16,12,14,10,14,8,5,10,14,11,8,13,14,8,11,13,12,15,13,14,16,14,14,9,15,13,16,16,13,17,13,13,13,15,11,14,13,13,14
汤姆·凯尼 - 选​择球​员,364.5825,15,15,7,13,16,12,6,14,10,14,13,16,7,16,15,13,14,14,17,17,13,16,16,15,11,9,16,16,10,10,10,9,13,9,8,14,16,14,15
亚历克斯·伊沃比 - 选​择球​员,417.1108333333333,14,14,8,11,14,9,4,14,11,9,13,13,8,13,15,14,15,13,15,8,9,15,15,15,15,10,13,14,14,12,13,16,15,12,13,13,15,13,13
哈里·威尔逊 - 选​择球​员,414.29333333333335,15,16,7,14,16,14,3,16,8,15,15,16,5,17,15,8,13,9,14,12,11,15,13,13,15,12,14,13,14,6,14,12,14,8,14,12,11,16,11
埃米尔·史密斯-洛维 - 选​择球​员,420.2566666666666,15,12,6,11,15,11,2,15,8,12,14,14,5,13,15,8,12,12,14,8,13,15,15,16,14,11,15,14,16,8,13,11,15,9,14,10,12,13,14
加尔文·尤仁波 - 选​择球​员,431.80749999999995,11,12,15,9,12,9,14,12,14,7,7,10,15,7,11,14,15,13,13,10,15,7,12,12,10,16,13,13,14,16,14,19,13,18,15,16,11,9,9
奥斯卡·鲍勃 - 选​择球​员,410.3366666666666,13,9,7,10,14,12,4,15,6,10,11,13,6,11,15,12,14,13,13,7,12,13,14,13,13,11,13,14,15,8,16,13,12,8,14,14,15,7,10
哈里森·里德 - 选​择球​员,385.61583333333334,14,12,14,8,11,11,8,11,13,11,8,12,12,11,9,13,16,14,13,13,14,11,17,14,15,15,13,13,13,8,14,15,14,11,11,14,14,12,13
安托尼·鲁宾逊 - 选​择球​员,449.1616666666667,13,14,12,8,13,3,6,14,15,7,7,13,11,7,11,14,17,11,12,14,13,12,14,13,12,14,15,11,17,13,15,16,13,14,17,14,15,13,12
瑞安·塞塞尼翁 - 选​择球​员,414.83916666666664,12,12,12,10,14,9,10,12,12,9,12,10,7,11,14,12,15,12,12,10,4,14,14,15,12,7,13,13,16,8,15,16,13,8,16,17,13,13,13
肯尼·太特 - 选​择球​员,418.3033333333334,13,14,16,7,12,7,12,10,16,7,7,12,11,10,9,14,16,11,14,8,11,10,15,11,14,14,15,12,15,12,14,15,14,14,14,14,16,14,11
劳尔·希门尼斯 - 选​择球​员,413.5108333333334,13,11,8,19,14,8,6,13,9,12,14,12,13,12,9,10,17,14,12,8,16,11,15,14,16,13,12,17,13,15,10,12,14,13,12,13,15,12,13
桑德·贝格 - 选​择球​员,400.0708333333333,15,11,11,12,15,9,6,13,14,9,10,13,9,10,11,14,12,15,15,11,12,14,15,13,14,10,14,13,12,12,14,14,14,13,13,14,13,12,12
萨沙·卢基奇 - 选​择球​员,403.07166666666666,14,11,10,14,13,14,4,12,15,7,11,13,11,12,14,13,14,13,14,10,14,12,13,13,14,12,14,14,13,11,13,15,14,13,13,14,13,13,12
豪尔赫·昆卡 - 选​择球​员,423.1575,13,7,14,6,12,7,9,9,15,6,7,14,13,8,7,14,14,14,13,9,12,12,14,8,14,13,14,14,15,14,14,12,12,15,15,14,13,12,12
萨穆埃尔·楚库泽 - 选​择球​员,425.3375,12,14,6,11,12,9,7,14,8,9,11,13,11,11,14,9,12,11,12,10,11,11,13,14,14,12,13,12,16,9,15,16,13,11,16,12,10,13,11
本杰明·勒克姆特 - 选​择球​员,349.81666666666666,10,1,1,3,10,3,3,3,1,5,2,11,10,2,6,14,12,13,11,11,8,11,13,10,14,14,12,11,10,14,15,13,15,14,10,14,15,13,13
以撒·迪奥普 - 选​择球​员,429.28166666666664,9,3,12,4,12,3,8,12,15,5,6,11,15,9,3,12,14,12,12,13,15,9,14,11,15,12,13,14,14,17,14,13,14,16,14,16,14,14,12
贝恩德·莱诺 - 选​择球​员,371.81500000000005,13,2,2,5,9,3,1,2,1,6,3,12,6,2,4,13,12,14,10,13,8,7,16,6,12,14,14,15,12,14,16,12,14,12,10,14,16,15,14
凯文 - 选​择球​员,428.275,13,12,6,12,16,12,5,16,7,11,14,15,9,11,18,8,12,8,12,9,10,12,11,15,14,11,13,13,17,8,14,13,14,11,15,12,12,14,8
乔希·金 - 选​择球​员,395.61416666666673,14,12,9,10,13,9,6,14,12,7,12,14,6,9,13,12,15,14,13,8,8,14,14,14,15,15,12,16,15,8,13,13,14,7,12,14,13,12,11
费萨尔·瓦塔拉 - 选​择球​员,412.94,13,13,8,11,14,8,5,14,10,12,13,12,8,11,15,9,15,11,11,7,9,13,14,13,13,9,13,13,15,9,13,13,12,11,15,15,12,13,10
蒂亚戈 - 选​择球​员,432.10333333333324,12,10,7,16,14,7,8,13,9,8,15,13,16,11,10,8,16,14,13,11,13,12,14,14,14,15,14,14,14,14,13,14,14,16,14,14,14,14,13
马蒂亚斯·延森 - 选​择球​员,391.4975,14,13,9,11,14,13,17,13,13,12,10,14,9,11,14,12,15,14,14,13,9,16,14,13,14,13,14,14,12,10,10,13,12,12,12,13,14,13,13
米克尔·达姆斯高 - 选​择球​员,392.09833333333336,16,13,8,12,16,13,7,15,11,11,11,14,6,11,16,8,14,14,14,8,13,16,14,14,14,13,13,14,13,7,12,13,11,8,13,11,14,14,10
约旦·汉德森 - 选​择球​员,410.9991666666667,16,12,14,11,14,14,9,11,14,13,7,11,10,9,7,15,17,15,16,19,14,15,18,13,19,16,15,14,12,12,12,15,14,12,12,17,13,16,18
卡奥姆辛·凯莱赫 - 选​择球​员,374.465,13,2,1,5,14,4,2,1,1,9,1,14,9,2,2,14,8,12,13,7,13,8,13,2,15,13,15,14,13,12,11,10,14,12,12,13,14,14,16
乔希·达席尔瓦 - 选​择球​员,374.62083333333334,14,12,11,11,14,8,8,13,12,9,13,13,11,14,14,11,14,14,13,9,12,14,14,13,15,10,14,13,11,10,12,11,14,12,11,11,14,13,13
赖斯·纳尔逊 - 选​择球​员,418.29833333333335,13,12,5,10,15,12,8,15,6,12,11,14,7,13,16,5,12,11,12,5,12,13,11,13,11,11,12,13,16,7,15,13,13,9,15,14,12,13,14
基恩·刘易斯-波特 - 选​择球​员,412.27416666666664,13,14,7,12,13,9,9,14,13,10,12,13,10,12,13,10,15,13,14,9,12,13,13,13,17,13,13,14,14,10,15,14,11,11,14,14,14,14,13
纳森·科林斯 - 选​择球​员,424.08250000000004,13,8,14,5,13,4,10,11,16,7,8,12,15,6,7,14,15,14,13,16,14,13,15,7,15,17,14,15,13,15,14,14,14,15,14,15,13,14,10
法比奥·卡瓦略 - 选​择球​员,401.2158333333333,13,11,7,12,15,12,5,15,8,11,12,14,7,11,15,8,12,11,12,7,12,14,12,13,13,11,13,13,15,8,14,11,11,8,14,13,12,10,11
里科·亨利 - 选​择球​员,425.78249999999997,13,13,12,8,13,7,9,14,13,7,10,14,13,10,13,15,15,14,14,12,12,14,15,12,15,14,14,14,15,9,13,14,14,12,15,14,15,14,14
埃勒里·巴尔科姆 - 选​择球​员,326.8474999999999,10,1,1,5,8,2,2,2,2,7,3,10,5,3,4,13,12,11,9,7,10,7,11,3,12,14,12,12,10,15,15,11,11,11,8,12,11,11,9
赛普·范登博格 - 选​择球​员,430.4575,13,9,15,6,13,5,12,10,14,5,7,12,14,6,8,14,16,14,13,12,15,13,14,9,16,16,14,14,13,16,15,13,14,14,15,12,16,14,15
哈公·拉芬·瓦尔迪马松 - 选​择球​员,353.4858333333333,11,3,1,3,9,3,3,2,1,7,2,11,9,3,4,13,13,14,13,8,10,12,12,7,15,15,13,14,11,15,11,12,12,12,10,12,14,12,14
瓦尔·阿德多昆 - 选​择球​员,372.41083333333336,12,11,5,5,12,10,3,12,8,6,8,12,8,9,12,8,12,7,10,6,10,11,11,12,13,12,12,11,13,8,12,11,12,9,13,11,12,10,8
